ID,DemAffl,DemAge,DemGender,PromClass,PromSpend,PromTime,TargetBuy
140,10,76,U,Gold,16000.0,4,0
620,4,49,U,Gold,6000.0,5,0
868,5,70,F,Silver,0.02,8,1
1120,10,65,M,Tin,0.01,7,1
2313,11,68,F,Tin,0.01,8,0
2771,9,72,U,Platinum,20759.81,3,0
3131,11,74,F,Tin,0.01,8,0
3328,13,62,M,Tin,0.01,5,0
4529,10,62,M,Silver,2038.76,3,0
5886,14,43,F,Gold,6000.0,1,1
7420,7,60,F,Gold,11000.0,2,0
9814,5,,M,Silver,5000.0,1,1
10006,9,51,F,Silver,300.0,11,0
10219,6,64,F,Tin,0.01,9,0
10812,16,37,F,Tin,0.01,4,1
11207,8,54,M,Silver,1420.0,1,0
11932,5,70,F,Gold,6104.66,8,0
14656,,42,F,Tin,0.01,5,1
15350,7,,F,Tin,0.01,5,1
17302,7,49,,Tin,0.01,7,0
19496,9,66,F,Silver,500.0,12,0
19763,9,74,F,Gold,6000.0,2,0
20478,6,70,,Gold,16000.0,2,0
20761,7,66,M,Silver,1000.0,5,0
23124,6,46,F,Tin,0.01,8,0
24554,10,39,M,Tin,0.01,5,0
24880,7,75,M,Silver,4000.0,7,0
26387,,72,F,Silver,1250.0,23,1
27715,7,43,M,Tin,0.01,5,1
29173,7,62,F,Gold,20000.0,4,0
29440,8,37,M,Silver,1000.0,9,1
30600,9,49,F,Tin,0.01,8,0
30937,8,79,,Gold,6000.0,1,0
39330,,,M,Tin,0.01,4,0
41092,3,50,F,Gold,9800.0,3,0
41475,,66,M,Tin,0.01,11,0
42439,15,35,F,Silver,1630.0,5,1
45799,10,71,F,Silver,1500.0,5,0
46906,7,44,F,Silver,1000.0,1,0
50237,8,42,M,Tin,0.01,5,0
51950,9,68,F,Gold,6053.25,5,1
54496,9,31,F,Tin,0.01,4,0
56073,8,70,F,Gold,19053.82,15,0
57002,7,72,F,Platinum,20526.96,3,0
57622,12,41,M,Tin,0.01,9,0
59056,9,37,F,Gold,6000.0,1,1
59862,8,58,F,Gold,10053.35,7,0
63002,7,47,F,Silver,0.02,5,0
63983,8,71,M,Silver,1000.0,6,0
71986,8,62,F,Silver,1000.0,5,1
72559,15,72,U,Gold,6340.26,12,0
73148,8,39,F,Silver,2241.36,4,1
75205,6,76,M,Gold,12000.0,19,0
75469,7,61,F,Gold,6000.0,11,1
80322,6,53,,Tin,0.01,5,0
80608,8,60,M,Silver,60.0,11,1
82678,15,42,F,Tin,0.01,5,1
83852,13,,F,Silver,5000.0,4,0
84573,10,57,F,Silver,50.0,11,0
87750,6,45,M,Tin,0.01,4,0
89796,11,75,F,Silver,3052.66,8,1
91588,8,37,F,Tin,0.01,5,1
93564,13,61,U,Silver,3000.0,8,0
95036,12,61,F,Silver,1020.0,9,0
95982,19,39,F,Tin,0.01,8,1
97802,7,55,M,Silver,2000.0,1,0
102385,8,57,M,Gold,9000.0,9,0
103225,13,18,F,Gold,6000.0,1,0
108413,5,56,U,Silver,3000.0,8,0
109819,9,50,F,Gold,20000.0,4,0
113743,,54,F,Silver,2000.0,2,0
117498,11,67,U,Platinum,22000.0,8,0
118397,7,78,F,Silver,2000.0,24,0
121312,5,61,F,Tin,0.01,5,0
121495,5,45,,Silver,600.0,11,0
124710,11,66,F,Silver,2000.0,5,0
126098,2,51,U,Gold,10000.0,5,0
126586,3,,F,Gold,15000.0,1,0
127892,10,60,,Silver,1020.0,9,0
129283,9,48,M,Silver,3000.0,2,0
129410,8,53,F,Silver,100.0,1,0
134872,10,72,U,Gold,12000.0,8,1
140597,9,68,F,Tin,0.01,7,0
144649,8,47,F,Tin,0.01,5,0
145157,11,39,F,Silver,2800.0,1,1
146730,12,72,F,Tin,0.01,8,0
148415,10,67,M,Gold,6000.0,4,0
148849,9,60,F,Tin,0.01,8,0
151432,6,,M,Gold,9000.0,3,0
154040,11,52,M,Tin,0.01,9,0
156515,7,55,F,Tin,0.01,8,0
158216,14,65,M,Gold,6053.35,6,0
159522,13,41,M,Tin,0.01,7,1
162485,16,34,F,Silver,3000.0,3,1
165808,6,40,F,Silver,1500.0,7,1
168394,9,35,F,Tin,0.01,4,1
170127,7,50,M,Silver,5000.0,10,0
181498,6,62,,Silver,3000.0,29,0
191396,7,,M,Tin,0.01,10,0
192791,9,60,M,Gold,8100.0,5,0
