Id,Title,Price,User_id,profileName,review/helpfulness,review/score,review/time,review/summary,review/text
1593351348,Wuthering Heights,18.96,AKZ3R4NWFK6ON,"E. Gray ""musiq lovr""",0.14285714285714285,5,1260230400,Got this,"Got this book version along with Romeo & Juliet and Pride and Predjudice for a Secret Santa gift. The covers a pretty and so a la ""Twilight""."
1578849209,Natural Atheism,14.04,A384SQPY12385,David B. Pearson,0.95,5,1135123200,Outstanding Freethought,"Although I've pretty much always been a ""natural atheist,"" only in recent months have I been open about it. As such, my take on Dr. Eller's book was slightly different than what others might get out of it - as his sound reasoning in the early chapters of the book is somewhat mooted to the freethinker who has already drawn much the same conclusions.For me, the perhaps overlooked strength of Dr. Eller's book comes in the later chapters having to deal with the theist, and the ongoing struggle - traced from past to present - against the constant threat of fundamentalist-based oppression in today's society. As such, the book not only maps out the good reasons one should be an atheist, but also why one's right to reason should not be threatened by those who do not.""Natural Atheism"" is one of the best of the several books I've read on this topic, and is highly endorsed."
0613659155,Nights In Rodanthe (Turtleback School & Library Binding Edition),19.57,A2GAP7XWBZU8QI,Eric,,4,1065744000,A Decent Novel,"The first book I read by Mr. Sparks was 'A Walk To Remember' and from that book on, I have been drawn to read all his novels, and Nights In Rodante is a decent novel, but nothing like 'A Walk To Remember'.This is a tender love story of two strangers from two different worlds, and yet by chance, they fall in love, but they only share that love for that one weekend. Of course, some of the writing is simple, and very very predictable, but it is worth checking out of the library, not worth really buying."
1590594991,Pro Apache Log4j,43.94,A2IAL7V5B0M2LZ,"Wayne Cannon ""Wayne""",1,4,1174176000,Almost identical with excellent on-line material,"This is an excellent reference. However, be aware that it does not provide much that isn't readily available in the composite of a couple of references available on-line on the Apache web site. I am very happy with the book, because I prefer to have a reference I can use off-line and at the side of my computer instead of in a window buried beneath my work."
0201328186,"Yellow Fever, Black Goddess: The Coevolution Of People And Plagues (Helix Book)",15.27,A14UM7LOF20W6P,Frank,0.6666666666666666,3,907200000,Stilted prose,"While the subject of the book is fascinating, and there is some interesting information in the book, the book would greatly benefit from substantial editing, with emphasis on writing style.The book suffers from a number of writing faults. If it's a book about &quot;the coevolution of people and plagues&quot; (its subtitle), why are the author's world travels constantly thrown at the reader? &quot;One of my most searing memories is of being surrounded on a street in Hyderabad by a crowd of lepers.... I reached Vellore, a cheerful and relatively clean market town, after a hectic 120-kilometre bus ride from Madras....&quot;If the reader makes it past the travelogue, the reader will still have to get through the prose and commas. &quot;Yet the AIDS virus, despite its fearsome aspects, has had just as much difficulty in spreading through the human population as syphilis or typhoid, and has had to make equally dramatic compromises in order to retain its ability to spread&quot; is a typical sentence.The subject would be much better served if the author could stay on topic and the book was presented as an adventure to be discovered and enjoyed instead of making each sentence (and the book itself) a puzzle to be penetrated."
1550226614,The Death of WCW: WrestleCrap and Figure Four Weekly Present . . . (WrestleCrap series),11.99,A3OBW7ZP7B1Y1N,T. VanPool,1,4,1301788800,Made Me a Wrestling Fan,"By happenstance I watched a documentary about the WCW last week. I was intrigued, and remembered back to the late 1970s/early 1980s when I watched wrestlers such as Mr. Wrestling II, Andre the Giant, and Ric Flair wrestle on the Superstation. That touch of nostalgia led me to be curious about the history and fall of the WCW, with its colorful characters and turbulent history. I bought this book, and found it wonderful.As someone who didn't know anything about wrestling other than a vague recollection of a couple of names, I found it an easy read. Although I didn't know all of the characters immediately, there was sufficient detail in the book to help me appreciate them without extensive background exposure. Plus, I learned who they were through excellent discussions of their context. The wrestling jargon was introduced in a straightforward manner, and I found the book to be very entertaining.Oddly, I found myself being drawn into the story of wrestling in a way I had not expected. I intended for the book to just be a bit of brain-dead fun and really didn't think I would read the whole thing. Instead I finished reading it in three days, which, given my wife and kids, reflects a near obsession on my part. The real story of the characters was so compelling that I now want to follow the story lines of the nWo and other successful ""angles"". Fortunately, I have been able to find some matches on Youtube and Netflix. I look forward to following the WWE, although the last chapter of this book on the ""Invasion"" makes me wonder if it will be any better than some of the shenanigans the authors describe at the WCW...Although the book is fun and informative, it does have some weaknesses. I assume that it is an accurate account, given that I have no background knowledge with which to evaluate it. However, it does present what must be opinion as fact. One of the other reviewers noted this issue, in that people's motives and thoughts are presented with absolute certainty, which simply isn't possible. Also, the logic used to evaluate the various choices of the WCW seems contradictory at times. For example, the authors frequently complain about how bad, boring, and illogical episodes of Nitro were during the late 1990s/early 2000s, but then mock the program for including content that ""people would pay for."" Maybe I just don't understand, but wouldn't including matches that people want to see be the way to improve Nitro? Could Nitro's quality be increased without doing this? I understand that there were serious booking problems, but it seems as if the book is sometimes critical of the producers/bookers regardless of what they did. They are ""damned if the do"" include good matches on Nitro and ""damned if they don't.""Regardless, this is a really neat book, and I recommend it for the novice wrestling fan who just wants to learn something about this interesting history. I also suspect that hard core wrestling fans will enjoy it too (as reflected in the other reviews)."
0553578685,The Third Victim,7.99,ADYVZCVYJ8P2D,"Susan J. Reinhardt ""littlesuey""",0.6666666666666666,5,981763200,Rivetting and intense!,"As a mother it was difficult for me to make it through chapters one and two, they really aren't for the feeble hearted. But once you get past them you won't be able to put the book down. I thought Gardner's first book was the most rivetting, compelling, well-writen, intense, yet disturbing book I'd ever read. She topped it with this one. The plot is intense, rivetting, complex,disturbing, well-crafted, well-written and the ending is impossible to foresee. The characters are well-developed, interesting and unforgetable. You won't be able to put it down once you start reading it!"
1563924323,"Suzuki Samurai, Sidekick, X90, and Vitara; Geo/Chevrolet Tracker (Haynes Manuals)",17.79,A2JXH7LNKBQR4H,CoachCooke,,5,1306368000,Great Response,"The product came as requested. Can't ask for anything more. Very prompt, exactly as indicated. Would purchase from them again."
1596290145,Showing the Flag: The Civil War Diary of Moses Safford,34.99,A3ELXG5FS9NURH,Joseph L. Erdmann,1,5,1115337600,Great Book!,"I found Showing the Flag the Civil War Diary of Moses Safford to be an excellent source of information on life aboard a Civil War era warship. Being a former Navy man who had sailed the Mediterranean, I really enjoyed seeing how many things were similar to my cruise in the Med over 100 years later.The editors did a great job and I really appreciated the footnotes. This book is a must read for any one looking into what life was like on a Civil War warship and the only one still in existence today! If you do visit the USS Constellation while in Baltimore's Inner Harbor area, I feel reading this book prior to your visit would greatly enhance your experience onboard the ship.Joe Erdmann"
019437212X,Second Language Acquisition (Oxford Introduction to Language Study Series),16.49,A1SCD2NYTIAQTY,Bu-Chan,1,4,1184889600,A Great Little Intro,"Rod Ellis is pretty much the guru on second language acquisition in this part of the world and usually writes some pretty heavy books on the subject. This little book, weighing in at just over 100 pages, stands in stark contrast.As the title of the series suggests, this is an introduction only and not for people who are already well-versed in second language acquistion theory. This book was really written for those wanting a launching point to further reading or just a quick overview of the main concepts, brief historical developments and some of the terminology.The majority of the book deals with various aspects of a learners interlanguage, taking in social, psycholinguistic and other facets. It also looks at variation between students, Universal Grammar and a few more topics. None are dealt with in to any great depth, but there is enough to give you some good insights into what you may have observed in the classroom. The discussion on developmental stages was particularly useful in this regard.LikePragmatics (Oxford Introductions to Language Study), this book is not a heavy read that bombards one with lashes of indecipherable terminology. Easy on the brain, it is a very good starting point for people interested in the field. Definitely recommended!"
